"cn","prev_plt_cn","state","county","fips","measyr","invyr","remper","plot_status_cd","lat","lon","elev","slope","aspect","nconds","max_condprop","reservcd","owncd","owngrpcd","fortypcd","stdage","stdszcd","dominant_species","dominant_conifer","dominant_hardwood","tpa","wp_tpa","conifer_tpa","ba","wp_ba","conifer_ba","qmd","netbdft","wp_netbdft","grosscuft","wp_grosscuft","netcuft","wp_netcuft","sward","wp_sward","conifer_sward","prop_conifer","prop_wp_conifer","LC"
171137543020004,145024707010661,23,29,23029,2014,2014,5,1,45.47238,-67.88829,454,0,0,1,1,0,46,40,708,87,3,316,95,316,855.228918,74.965282,240.201254,105.851169,2.980678,38.787383,4.763684,1259.755012,0,988.187966,0,925.114559,0,0.692424,0.020841,0.189431,0.366433203963954,0.0768465869429758,"Mixed"
171137899020004,145023547010661,23,29,23029,2014,2014,5,1,44.52416,-67.87414,173,5,235,1,1,0,46,40,801,65,2,316,12,316,1590.617502,6.018046,621.566296,191.119876,7.385254,90.548515,4.693603,2481.936461,858.03755,2415.585981,198.046817,2290.354175,184.183538,1.162773,0.026006,0.43861,0.473778640375426,0.0815612934127081,"Mixed"
171137880020004,145023573010661,23,29,23029,2013,2014,4,1,44.93013,-67.95938,397,10,26,1,1,0,46,40,122,32,2,94,94,375,396.67045,36.108276,366.58022,102.674661,23.95645,95.98198,6.88895,571.485377,0,1552.688606,511.298105,1390.502628,392.422541,0.518817,0.093561,0.475568,0.934816624327593,0.249593204891168,"Evergreen"
171138107020004,145023565010661,23,29,23029,2014,2014,5,1,45.11721,-67.70254,319,6,2,1,1,0,46,40,124,112,3,12,12,371,1523.377824,0,1517.359778,25.677059,0,24.332615,1.757944,0,0,89.537499,0,84.076105,0,0.198208,0,0.188133,0.947640265187692,0,"Evergreen"
171138142020004,145023535010661,23,29,23029,2014,2014,5,1,44.8362,-67.60076,337,7,310,1,1,0,46,40,103,79,2,129,129,316,801.58709,153.19988,699.280308,126.782147,53.768763,97.26772,5.385053,5199.296775,4080.132947,2162.515761,1170.888578,2047.956592,1105.115639,0.645137,0.22109,0.466774,0.767203603201325,0.552791439955619,"White Pine"
171138139020004,145023529010661,23,29,23029,2014,2014,5,1,45.10218,-67.39723,373,31,185,1,1,0,46,40,505,83,2,833,129,833,975.069252,74.965282,74.965282,75.434413,0.494735,0.494735,3.7662,285.554796,0,1083.819573,0,868.878898,0,0.602996,0.004954,0.004954,0.00655847882053513,1,"Deciduous"
171137896020004,145023541010661,23,29,23029,2014,2014,5,1,45.67397,-67.80914,264,5,89,2,0.75,0,46,40,901,45,3,746,0,746,1199.444512,0,0,20.57036,0,0,1.773239,0,0,0,0,0,0,0.171879,0,0,0,NA,"Deciduous"
171138101020004,145023553010661,23,29,23029,2014,2014,5,1,45.29761,-67.47939,235,6,76,1,1,0,46,40,121,96,2,261,261,316,783.532952,0,585.45802,127.741837,0,92.439579,5.467317,2747.794229,0,2091.015019,0,1832.788351,0,0.685551,0,0.467397,0.723643726839469,0,"Evergreen"
171137898020004,145023545010661,23,29,23029,2014,2014,5,1,44.47163,-67.94997,120,0,0,2,0.761222,0,46,40,809,55,2,316,12,316,705.81894,0,351.274812,117.43632,0,49.98955,5.523201,2057.42659,0,1755.177728,0,1644.930429,0,0.703617,0,0.252115,0.425673675741883,0,"Mixed"
171138126020004,145023503010661,23,29,23029,2014,2014,5,1,44.897999,-67.22222,136,13,116,1,1,0,46,40,127,81,2,241,241,375,1746.566112,12.036092,1686.385652,162.059845,17.095057,138.977153,4.124597,3246.669588,2115.656384,2231.524983,471.791077,2029.287073,440.405686,0.787569,0.058147,0.651421,0.857566863648426,0.123006239737837,"Evergreen"
